Location,Code,Longitude,Latitude,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,Total,N>0
Arisaig,S06207,-62.169,45.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,14,9,6,1,6,6,5,9,4,2,0,1,0,12,1,0,0,2,3,2,0,1,0,0,0,0,0,0,9,6,0,0,,,,,,,,,,,,,,,,,,,,,116,23
Arseneault,S04267,-65.304,48.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,12,6,1,14,0,25,7,22,3,5,36,11,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156,19
Baie Comeau,S04273,-68.198,49.138,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,3,0,1,2,5,0,5,1,4,0,1,7,0,1,0,0,1,0,4,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,20
Baldwin,S04284,-66.106,48.562,,,,,,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,34,9,61,0,8,12,37,13,36.1,10,5,3,12,9,12,34,38,9,5,4,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,24
Boston Brook,S04276,-67.629,47.451,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,5,0,6,4,0,13,11,2,2,10,2,1,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,18
Cheesemans Park,S04540,-59.284,47.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,4.1,1,7.1,59,13,36,52,30,57,107,45,67,140,111,22,8,4,16,11,1,1,2,0,2,1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,25
Clearwater,S04285,-67.052,46.514,0,0,0,0,0,0,0,0,0,0,,0.1,,0,0,0,0,,0,0.1,0,2,0.1,1,1,2,4,1,3.1,0,0,13,3,1.1,,15,12,,5.1,6.1,,0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,69,14
Doaktown,S04275,-66.116,46.564,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Duchénier,S04288,-68.592,48.117,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,19,0,16.1,1,1,0,6,1,4,1,4,3,2,0,0,3,1.1,1,0,0,1.1,0,0.1,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0,,82,20
Dunière,S04279,-66.777,48.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,3,13,1,2,1,3,2,4,1,0,9,13,4,3,11,6,5.1,11,5,2,4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,115,28
Escourt,S04266,-69.127,47.555,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,34,21,11,5,6,44.1,6,13,18,3,13,5,25,1,2,5,0,3,1,0,0,0,0,0,0,0,0,0,5,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,24
Forestville,S04254,-69.078,48.738,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,2,2,2,4,0,2,8,8,4,5,5,6,18,52,3,3,5,3,1,0,1,5,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,25
Gaspé,S04282,-64.488,48.804,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,2,0,2,2,6,1,4,1,16,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17
Havre St Pierre,S04255,-63.606,50.252,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5
Ingonish,S06221,-60.401,46.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,4,6,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8
Inverness,S06291,-61.295,46.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,17,8,2,3,1,1,4,4,0,18,54,13,13,22,2,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,19
Jacquet River,S04277,-66.073,47.844,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,16,3,1,1,2,12,11,4,14,2,1,6,4,3.1,0,2,2,5,0,1,0,2,1,1,3,0,3,6,0,5,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,32
Juniper,S04263,-67.256,46.540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8
Miramichi,S04274,-65.719,47.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8
New Canada,S04716,-68.562,47.192,,,,,,,,,,,,,,,1.1,4,6,13,0,9,19,3,8,5,0,3,7,0,0,0,,,,,,,,5,8,0,10,18,0,0,0,0,-10,0,0,8,12,2,2,0,,0.1,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,132,20
Petit Etang,S04623,-60.955,46.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4
Pikauba,S04262,-71.248,47.837,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,1,1,0,1,11,2,8,7,7,1,20,3,2,1,0,0,0,2,0,0,0,1.1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0.1,74,20
Plaster Rock,S04268,-67.189,46.908,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,26.1,4,5,0,0,0,1,0,0,2,7,2,1,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,49,9
Pointe au Mal,S04606,-58.515,48.600,0,0.1,,,,,,0,0.1,0.1,,,0.1,,,0.1,0.1,0.1,,,0.1,,0.1,0.1,0.1,0.1,,0.1,,2,,0.1,,2.1,,,,,,1.1,9.1,,12.1,17.1,,6.1,9.1,3.1,3.1,,,,,,,,,,,,,,,,,,,0.1,0.1,,64,10
Port Saunders,S04620,-57.303,50.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,1,0,8,7,9,37,20,,,,19.1,115,51,87,7,22,111,74,39,17,42,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,22
Robinsonville,S04258,-66.934,47.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,3,5,1,2,0,2,1,12,9,2,11,3,0,5,3,1,1,0,0,1,6,3,1,0,2,1,0,2,0,0,0,0,0,0,0,,,0.1,,,,,,,82,27
Roy Island,S04622,-62.517,45.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Saint Leonard,S04286,-67.880,47.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,6,8,2,2,0,1,3,0,0,3,3,6,23,19,4,5,5,0,0,0,0,1,0,5,0,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,26
Saint Quentin,S04256,-67.331,47.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,3,10,8,0,9,6,14,33,19,9,6,0,16,35,52,11,12,8,3,8,3,2,3,3,4,5,5,1,11,1,3,10,0,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,37
Sept-Iles,S04283,-66.256,50.220,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1,0,0,4,0,0,1,3,4,3,0,4,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10
South Tetagouche,S04269,-65.839,47.603,0,0,0.1,0,0,0,0,0,0,0,,,0.1,0.1,0,0,1,0.1,0,0,3,2,0,,0,,2.1,,6.1,,,,,,,3,6,,,21.1,0,5,1,2,3,3,17,2,,,,,,,,0,,,0,0.1,0,0,0,0,0,0,0.1,,0.1,0,77,15
St Anthony,S04607,-56.011,51.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.1,0,0,2,0,0,3,11,6,26,1,2,4,7,9,5,5,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,19
St Modeste,S04272,-69.391,47.837,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1,0,0,1,3,2,3,2,5,1,3,1,0,0,0,3,8,0,7,3,6.1,5,6,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,69,24
Tatamagouche,S04608,-63.325,45.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Zinc Mine Road,S04610,-57.556,50.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,6,6,3,35,8,67,92,,,,21.1,20,15,26,9,14,69,37,35,16,12,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,22
Stockholm,S04656,-68.586,47.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Total,,,,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,1.1,2.2,0.2,1.2,10.3,8.1,19.1,24.2,17,27.1,63.3,61.1,44.2,52.2,30.1,60.3,196.2,97.1,111.2,174.2,39,202.1,223,274.5,159,311,373,288.1,113.1,207.4,80.1,102.3,269.2,137.3,158,57.1,145.2,295.2,140.2,129.1,86,84.1,58,9,21,3.2,0,1,1,6.2,0,1,1,2.1,1,1,0.1,0.2,0.2,0.1,4973,53
N>0,,,,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,3,8,6,3,6,10,10,9,13,9,11,16,17,19,22,7,22,18,23,17,22,24,23,19,24,14,15,20,16,17,12,20,21,12,15,15,14,13,6,10,3,0,1,1,5,2,1,1,2,1,1,0,0,0,0,607,54